"INTERNETID","TRACKINGNO","CA_TYPE","SHIP_DATE"
"","","   ","2018-10-04 00:00:00"
"","","   ","2018-10-08 00:00:00"
"100079522","9449010200881859683690","USP","2018-10-09 00:00:00"
"100079745","1Z4248510323434098","UPS","2018-10-03 00:00:00"
"100080470","HJ276111320US","USP","2018-10-03 00:00:00"
"100084054","1Z4248510323449760","UPS","2018-10-10 00:00:00"
"100085911","1Z4248510323434749","UPS","2018-10-03 00:00:00"
"100086253","","   ","2018-10-08 00:00:00"
"100086388","9449010200830056399552","USP","2018-10-09 00:00:00"
"100086652","1Z4248510323452621","UPS","2018-10-11 00:00:00"
"100086730","1Z4248510323433571","UPS","2018-10-03 00:00:00"
"100086734","9449010200829855394875","USP","2018-10-03 00:00:00"
"100086792","1Z4248511223434259","UPS","2018-10-03 00:00:00"
"100086794","9449010200882855684568","USP","2018-10-03 00:00:00"
"100086795","9449010200829855395834","USP","2018-10-03 00:00:00"
"100086796","9449010200793873955090","USP","2018-10-03 00:00:00"
"100086950","1Z4248510323433231","UPS","2018-10-03 00:00:00"
"100086965","9450210200793873740344","USP","2018-10-03 00:00:00"
"100086967","9449010200881855319500","USP","2018-10-03 00:00:00"
"100086968","9449010200883914649528","USP","2018-10-03 00:00:00"
"100086969","9449010200828855451830","USP","2018-10-03 00:00:00"
"100086972","1Z4248510323433562","UPS","2018-10-03 00:00:00"
"100086977","9449010200882855449679","USP","2018-10-03 00:00:00"
"100086979","9449010200830051769961","USP","2018-10-03 00:00:00"
"100086980","9449010200882855453775","USP","2018-10-03 00:00:00"
"100086982","9449010200881855317995","USP","2018-10-03 00:00:00"
"100086983","9449010200882862256239","USP","2018-10-11 00:00:00"
"100086984","9449010200882855512182","USP","2018-10-03 00:00:00"
"100086987","9449010200830051779885","USP","2018-10-03 00:00:00"
"100086988","9449010200882855479126","USP","2018-10-03 00:00:00"
"100086989","9449010200882855480641","USP","2018-10-03 00:00:00"
"100086990","1Z4248510323433633","UPS","2018-10-03 00:00:00"
"100086991","9449010200829855225162","USP","2018-10-03 00:00:00"
"100086992","9449010200882855509083","USP","2018-10-03 00:00:00"
"100086995","LJ226176005US","USP","2018-10-03 00:00:00"
"100086998","9449010200829855221171","USP","2018-10-03 00:00:00"
"100086999","9449010200883914725987","USP","2018-10-03 00:00:00"
"100087000","9449010200793873739553","USP","2018-10-03 00:00:00"
"100087001","9449010200882855589306","USP","2018-10-03 00:00:00"
"100087002","1Z4248510323433624","UPS","2018-10-03 00:00:00"
"100087003","9449010200881855396396","USP","2018-10-03 00:00:00"
"100087004","9450210200881855287373","USP","2018-10-03 00:00:00"
"100087009","LJ226175407US","USP","2018-10-03 00:00:00"
"100087010","9449010200883915218976","USP","2018-10-03 00:00:00"
"100087011","1Z4248510323437308","UPS","2018-10-04 00:00:00"
"100087014","9449010200881856435247","USP","2018-10-04 00:00:00"
"100087016","9449010200793874797286","USP","2018-10-04 00:00:00"
"100087017","9449010200828856432586","USP","2018-10-04 00:00:00"
"100087018","","   ","2018-10-03 00:00:00"
"100087019","9449010200793874936241","USP","2018-10-04 00:00:00"
"100087020","9449010200793875116765","USP","2018-10-04 00:00:00"
"100087021","1Z4248510323437880","UPS","2018-10-04 00:00:00"
"100087022","9449010200882856794259","USP","2018-10-04 00:00:00"
"100087023","","   ","2018-10-03 00:00:00"
"100087024","9449010200793875119308","USP","2018-10-04 00:00:00"
"100087025","9449010200830052925243","USP","2018-10-04 00:00:00"
"100087026","9405510200882856626285","USP","2018-10-04 00:00:00"
"100087027","9449010200829856363528","USP","2018-10-04 00:00:00"
"100087027","9449010200830054015935","USP","2018-10-05 00:00:00"
"100087028","","   ","2018-10-03 00:00:00"
"100087029","","   ","2018-10-03 00:00:00"
"100087030","9449010200793874963551","USP","2018-10-04 00:00:00"
"100087031","","   ","2018-10-03 00:00:00"
"100087032","","   ","2018-10-03 00:00:00"
"100087033","9449010200830052921450","USP","2018-10-04 00:00:00"
"100087034","","   ","2018-10-03 00:00:00"
"100087035","9449010200883915810996","USP","2018-10-04 00:00:00"
"100087036","9449010200883915813737","USP","2018-10-04 00:00:00"
"100087037","9449010200829856364075","USP","2018-10-04 00:00:00"
"100087038","","   ","2018-10-03 00:00:00"
"100087039","9449010200882856648736","USP","2018-10-04 00:00:00"
"100087040","9449010200883916916789","USP","2018-10-05 00:00:00"
"100087041","","   ","2018-10-03 00:00:00"
"100087042","9449010200828856594451","USP","2018-10-04 00:00:00"
"100087043","","   ","2018-10-03 00:00:00"
"100087044","9449010200881856426153","USP","2018-10-04 00:00:00"
"100087045","9449010200828856739739","USP","2018-10-04 00:00:00"
"100087046","9449010200793874962653","USP","2018-10-04 00:00:00"
"100087047","","   ","2018-10-03 00:00:00"
"100087048","1Z4248510323437826","UPS","2018-10-04 00:00:00"
"100087049","9449010200882856791081","USP","2018-10-04 00:00:00"
"100087050","9449010200882857013458","USP","2018-10-04 00:00:00"
"100087051","9449010200793875344120","USP","2018-10-04 00:00:00"
"100087052","","   ","2018-10-03 00:00:00"
"100087053","9449010200883916183907","USP","2018-10-04 00:00:00"
"100087054","9449010200881856820807","USP","2018-10-04 00:00:00"
"100087055","9449010200793875329875","USP","2018-10-04 00:00:00"
"100087056","","   ","2018-10-03 00:00:00"
"100087057","9449010200829856728389","USP","2018-10-04 00:00:00"
"100087058","","   ","2018-10-03 00:00:00"
"100087059","LJ226393075US","USP","2018-10-04 00:00:00"
"100087060","9449010200829856728778","USP","2018-10-04 00:00:00"
"100087061","9449010200830053304597","USP","2018-10-04 00:00:00"
"100087062","9449010200828856946052","USP","2018-10-04 00:00:00"
"100087063","","   ","2018-10-03 00:00:00"
"100087064","9449010200830053319294","USP","2018-10-04 00:00:00"
"100087065","9450210200883916166375","USP","2018-10-04 00:00:00"
"100087066","9449010200881856801431","USP","2018-10-04 00:00:00"
"100087067","9449010200882857009772","USP","2018-10-04 00:00:00"
"100087068","9449010200881856816046","USP","2018-10-04 00:00:00"
"100087069","","   ","2018-10-03 00:00:00"
"100087070","9449010200882856996349","USP","2018-10-04 00:00:00"
"100087071","9449010200883916171386","USP","2018-10-04 00:00:00"
"100087072","","   ","2018-10-03 00:00:00"
"100087073","","   ","2018-10-03 00:00:00"
"100087074","9449010200883916603139","USP","2018-10-05 00:00:00"
"100087075","9449010200829857160225","USP","2018-10-05 00:00:00"
"100087076","","   ","2018-10-03 00:00:00"
"100087077","9449010200883916602842","USP","2018-10-05 00:00:00"
"100087078","","   ","2018-10-03 00:00:00"
"100087079","","   ","2018-10-03 00:00:00"
"100087080","","   ","2018-10-03 00:00:00"
"100087081","","   ","2018-10-03 00:00:00"
"100087082","9449010200881857231053","USP","2018-10-05 00:00:00"
"100087083","","   ","2018-10-03 00:00:00"
"100087084","","   ","2018-10-03 00:00:00"
"100087085","","   ","2018-10-03 00:00:00"
"100087086","9449010200883916603863","USP","2018-10-05 00:00:00"
"100087087","9449010200830053748278","USP","2018-10-05 00:00:00"
"100087088","9449010200828857399437","USP","2018-10-05 00:00:00"
"100087089","","   ","2018-10-03 00:00:00"
"100087090","9449010200793876423688","USP","2018-10-05 00:00:00"
"100087091","","   ","2018-10-03 00:00:00"
"100087092","9449010200793875781628","USP","2018-10-05 00:00:00"
"100087093","9449010200882857430538","USP","2018-10-05 00:00:00"
"100087094","","   ","2018-10-03 00:00:00"
"100087095","","   ","2018-10-03 00:00:00"
"100087096","9449010200881857231725","USP","2018-10-05 00:00:00"
"100087097","9449010200882857760413","USP","2018-10-05 00:00:00"
"100087098","","   ","2018-10-03 00:00:00"
"100087099","9449010200828857708307","USP","2018-10-05 00:00:00"
"100087101","9449010200829857678379","USP","2018-10-05 00:00:00"
"100087101","","   ","2018-10-03 00:00:00"
"100087102","","   ","2018-10-03 00:00:00"
"100087103","","   ","2018-10-03 00:00:00"
"100087104","9449010200828857720217","USP","2018-10-05 00:00:00"
"100087105","","   ","2018-10-03 00:00:00"
"100087106","9449010200828858766344","USP","2018-10-08 00:00:00"
"100087107","9449010200793876139954","USP","2018-10-05 00:00:00"
"100087108","9449010200882857896365","USP","2018-10-05 00:00:00"
"100087109","","   ","2018-10-03 00:00:00"
"100087110","9449010200829857488480","USP","2018-10-05 00:00:00"
"100087111","","   ","2018-10-03 00:00:00"
"100087112","9449010200883916927662","USP","2018-10-05 00:00:00"
"100087113","","   ","2018-10-03 00:00:00"
"100087114","","   ","2018-10-03 00:00:00"
"100087115","","   ","2018-10-03 00:00:00"
"100087116","9449010200828857730551","USP","2018-10-05 00:00:00"
"100087117","","   ","2018-10-03 00:00:00"
"100087118","9449010200830054385885","USP","2018-10-05 00:00:00"
"100087119","","   ","2018-10-03 00:00:00"
"100087120","9449010200830054422474","USP","2018-10-05 00:00:00"
"100087121","9449010200828857718238","USP","2018-10-05 00:00:00"
"100087122","","   ","2018-10-03 00:00:00"
"100087123","9449010200882857766750","USP","2018-10-05 00:00:00"
"100087124","9449010200793877039550","USP","2018-10-08 00:00:00"
"100087125","9449010200828857720835","USP","2018-10-05 00:00:00"
"100087126","","   ","2018-10-03 00:00:00"
"100087127","","   ","2018-10-03 00:00:00"
"100087128","","   ","2018-10-03 00:00:00"
"100087129","","   ","2018-10-03 00:00:00"
"100087130","","   ","2018-10-03 00:00:00"
"100087131","9449010200793875781994","USP","2018-10-05 00:00:00"
"100087132","9449010200793875781079","USP","2018-10-05 00:00:00"
"100087133","9449010200882857428252","USP","2018-10-05 00:00:00"
"100087134","","   ","2018-10-03 00:00:00"
"100087135","","   ","2018-10-03 00:00:00"
"100087136","9449010200883916942184","USP","2018-10-05 00:00:00"
"100087137","1Z4248511223437872","UPS","2018-10-04 00:00:00"
"100087138","9449010200883916601609","USP","2018-10-05 00:00:00"
"100087139","","   ","2018-10-03 00:00:00"
"100087140","9449010200881857560924","USP","2018-10-05 00:00:00"
"100087141","9450210200883916917205","USP","2018-10-05 00:00:00"
"100087142","1Z4248510323440901","UPS","2018-10-05 00:00:00"
"100087143","9449010200830054128369","USP","2018-10-05 00:00:00"
"100087144","9449010200828857722730","USP","2018-10-05 00:00:00"
"100087145","","   ","2018-10-04 00:00:00"
"100087146","1Z4248510323440367","UPS","2018-10-05 00:00:00"
"100087147","","   ","2018-10-04 00:00:00"
"100087148","UA660023932US","USP","2018-10-09 00:00:00"
"100087149","9449010200830054011807","USP","2018-10-05 00:00:00"
"100087150","","   ","2018-10-04 00:00:00"
"100087151","","   ","2018-10-04 00:00:00"
"100087152","9449010200882857663097","USP","2018-10-05 00:00:00"
"100087153","","   ","2018-10-04 00:00:00"
"100087154","","   ","2018-10-04 00:00:00"
"100087155","9449010200882857663950","USP","2018-10-05 00:00:00"
"100087156","9449010200883916938705","USP","2018-10-05 00:00:00"
"100087157","1Z4248510323440885","UPS","2018-10-05 00:00:00"
"100087158","","   ","2018-10-04 00:00:00"
"100087159","","   ","2018-10-04 00:00:00"
"100087160","","   ","2018-10-04 00:00:00"
"100087161","9449010200828857615322","USP","2018-10-05 00:00:00"
"100087162","","   ","2018-10-04 00:00:00"
"100087163","9449010200793876020016","USP","2018-10-05 00:00:00"
"100087164","","   ","2018-10-04 00:00:00"
"100087165","9449010200883916955375","USP","2018-10-05 00:00:00"
"100087166","9449010200829857465566","USP","2018-10-05 00:00:00"
"100087167","","   ","2018-10-04 00:00:00"
"100087168","9449010200828857706785","USP","2018-10-05 00:00:00"
"100087169","9449010200828857721863","USP","2018-10-05 00:00:00"
"100087170","9449010200830054110135","USP","2018-10-05 00:00:00"
"100087171","","   ","2018-10-04 00:00:00"
"100087172","9449010200882857654477","USP","2018-10-05 00:00:00"
"100087173","9449010200883916860938","USP","2018-10-05 00:00:00"
"100087174","9449010200793876021693","USP","2018-10-05 00:00:00"
"100087175","9449010200828857705917","USP","2018-10-05 00:00:00"
"100087176","","   ","2018-10-04 00:00:00"
"100087177","9449010200881857550406","USP","2018-10-05 00:00:00"
"100087178","9449010200883916926603","USP","2018-10-05 00:00:00"
"100087179","","   ","2018-10-04 00:00:00"
"100087180","9449010200793876105638","USP","2018-10-05 00:00:00"
"100087181","","   ","2018-10-04 00:00:00"
"100087182","9449010200793876018600","USP","2018-10-05 00:00:00"
"100087183","9449010200883916838531","USP","2018-10-05 00:00:00"
"100087184","","   ","2018-10-04 00:00:00"
"100087185","","   ","2018-10-04 00:00:00"
"100087186","9449010200883916950004","USP","2018-10-05 00:00:00"
"100087187","1Z4248510323440910","UPS","2018-10-05 00:00:00"
"100087188","","   ","2018-10-04 00:00:00"
"100087189","9449010200828857717200","USP","2018-10-05 00:00:00"
"100087190","","   ","2018-10-04 00:00:00"
"100087191","","   ","2018-10-04 00:00:00"
"100087192","","   ","2018-10-04 00:00:00"
"100087193","","   ","2018-10-04 00:00:00"
"100087194","","   ","2018-10-04 00:00:00"
"100087195","","   ","2018-10-04 00:00:00"
"100087196","9449010200828857819980","USP","2018-10-05 00:00:00"
"100087197","9449010200828857772353","USP","2018-10-05 00:00:00"
"100087198","","   ","2018-10-04 00:00:00"
"100087199","9449010200793876354654","USP","2018-10-05 00:00:00"
"100087200","","   ","2018-10-04 00:00:00"
"100087201","1Z4248510323441446","UPS","2018-10-05 00:00:00"
"100087202","","   ","2018-10-04 00:00:00"
"100087203","9449010200793876351318","USP","2018-10-05 00:00:00"
"100087204","9449010200881857770927","USP","2018-10-05 00:00:00"
"100087205","9449010200882857972434","USP","2018-10-05 00:00:00"
"100087206","","   ","2018-10-04 00:00:00"
"100087207","LJ226568341US","USP","2018-10-05 00:00:00"
"100087208","9449010200881857774673","USP","2018-10-05 00:00:00"
"100087209","9449010200829857679079","USP","2018-10-05 00:00:00"
"100087210","","   ","2018-10-04 00:00:00"
"100087211","","   ","2018-10-08 00:00:00"
"100087212","9449010200881857761413","USP","2018-10-05 00:00:00"
"100087213","","   ","2018-10-04 00:00:00"
"100087214","9449010200882857868003","USP","2018-10-05 00:00:00"
"100087215","","   ","2018-10-04 00:00:00"
"100087216","9449010200881857763776","USP","2018-10-05 00:00:00"
"100087217","","   ","2018-10-05 00:00:00"
"100087218","9449010200882859874743","USP","2018-10-09 00:00:00"
"100087219","9449010200881859683126","USP","2018-10-09 00:00:00"
"100087220","9449010200828859830952","USP","2018-10-09 00:00:00"
"100087221","9449010200828859425370","USP","2018-10-08 00:00:00"
"100087222","1Z4248510323446129","UPS","2018-10-09 00:00:00"
"100087223","","   ","2018-10-05 00:00:00"
"100087224","","   ","2018-10-05 00:00:00"
"100087225","","   ","2018-10-05 00:00:00"
"100087226","","   ","2018-10-05 00:00:00"
"100087227","9449010200882859873555","USP","2018-10-09 00:00:00"
"100087228","9449010200883919182785","USP","2018-10-09 00:00:00"
"100087229","9449010200882859874576","USP","2018-10-09 00:00:00"
"100087230","1Z4248511223442428","UPS","2018-10-05 00:00:00"
"100087231","","   ","2018-10-05 00:00:00"
"100087232","","   ","2018-10-05 00:00:00"
"100087233","9449010200830056400579","USP","2018-10-09 00:00:00"
"100087234","9449010200829859589796","USP","2018-10-09 00:00:00"
"100087235","","   ","2018-10-05 00:00:00"
"100087236","9449010200828859846281","USP","2018-10-09 00:00:00"
"100087237","","   ","2018-10-05 00:00:00"
"100087238","","   ","2018-10-05 00:00:00"
"100087239","","   ","2018-10-05 00:00:00"
"100087240","","   ","2018-10-05 00:00:00"
"100087241","","   ","2018-10-05 00:00:00"
